Source_Database_Code,LocationID,LocationName,LocationAbbreviation,LocationNPINumber,LocationAddress,LocationAddress2,LocationCity,LocationState,LocationZip,LocationPhone,LocationFax,LocationType,LocationFDANumber,LocationAlternativeAddress,LocationAlternativeAddress2,LocationAlternativecity,LocationAlternativestate,LocationAlternativezip,tbl_Refresh_Date,LocationPhone_norm,LocationFax_norm,birdeye_review_count,birdeye_avg_rating,birdeye_median_rating,birdeye_one_star_count,birdeye_two_star_count,birdeye_three_star_count,birdeye_four_star_count,birdeye_five_star_count,birdeye_last_review_date,birdeye_first_review_date,birdeye_review_with_comment_count,birdeye_phi_review_count,birdeye_phi_phone_total,birdeye_phi_email_total,birdeye_phi_ssn_total,birdeye_one_star_pct,birdeye_one_or_two_star_pct
ESR,1,ESR Radiology Location 1,ESR01,,7761 SUNSET LN,,MIAMI,FL,33101,(954)788-6018,,Professional,,7761 SUNSET LN,,MIAMI,FL,,2026-05-01,9547886018,,,,,,,,,,,,,,,,,,
RADK,1,RADK Radiology Location 1,RADK01,1631664398,4559 PINE DR,,MACON,GA,31201,,(404)806-4701,Facility,,,,,,31201,2026-05-01,,4048064701,,,,,,,,,,,,,,,,,
RADR,1,RADR Radiology Location 1,RADR01,1370459705,7472 CEDAR CIR,,LEBANON,TN,37087,,,Professional,,7472 CEDAR CIR,,LEBANON,,37087,2026-05-01,,,,,,,,,,,,,,,,,,,
CIRPA,1,CIRPA Radiology Location 1,CIRPA01,1636761825,4408 SCHOOL PL,,TAMPA,FL,33601,,,Global,,4408 SCHOOL PL,,,FL,,2026-05-01,,,,,,,,,,,,,,,,,,,
GRH,1,GRH Radiology Location 1,GRH01,1565236105,1233 LAKE WAY,,COLUMBUS,GA,31901,(912)707-7745,,Professional,,,,,GA,,2026-05-01,9127077745,,,,,,,,,,,,,,,,,,
RADN,1,RADN Radiology Location 1,RADN01,1661916513,677 SCHOOL AVE,,CINCINNATI,OH,45201,(419)827-1184,,Global,,,,CINCINNATI,,,2026-05-01,4198271184,,,,,,,,,,,,,,,,,,
RADQ,1,RADQ Radiology Location 1,RADQ01,,5059 SPRING ST,,RENO,NV,89501,,,Professional,,5059 SPRING ST,,RENO,NV,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADK,2,RADK Radiology Location 2,RADK02,,9693 PINE CT,,ATHENS,GA,30601,,(770)302-0614,Professional,,,,ATHENS,GA,30601,2026-05-01,,7703020614,,,,,,,,,,,,,,,,,
RADX,1,RADX Radiology Location 1,RADX01,1628745286,6665 LAKE BLVD,,SAN ANTONIO,TX,78201,,,Professional,,,,SAN ANTONIO,,78201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,1,RADU Radiology Location 1,RADU01,1022803870,5851 LAKE BLVD,,ORLANDO,FL,32801,(813)585-8427,,Professional,244916,,,,,,2026-05-01,8135858427,,,,,,,,,,,,,,,,,,
RADC,1,RADC Radiology Location 1,RADC01,1542827090,8511 LAKE AVE,,COLUMBUS,OH,43201,(614)452-5537,,Professional,,8511 LAKE AVE,,,OH,,2026-05-01,6144525537,,,,,,,,,,,,,,,,,,
MRB,1,MRB Radiology Location 1,MRB01,1460033931,2440 MAIN ST,,KNOXVILLE,TN,37902,,(931)707-8648,Professional,361825,,,,,37902,2026-05-01,,9317078648,,,,,,,,,,,,,,,,,
NRAA,1,NRAA Radiology Location 1,NRAA01,1893446638,8926 OAK CT,,FRANKLIN,TN,37064,(423)452-7432,,Professional,,,,FRANKLIN,,,2026-05-01,4234527432,,,,,,,,,,,,,,,,,,
ACRB,1,ACRB Radiology Location 1,ACRB01,1599382790,8327 AMANA ST,,CINCINNATI,OH,45201,,,Outpatient,,,,,,45201,2026-05-01,,,,,,,,,,,,,,,,,,,
CIRPA,2,CIRPA Radiology Location 2,CIRPA02,1417035785,9695 OAK AVE,,JACKSONVILLE,FL,32099,(407)220-0810,,Professional,743865,,,,,32099,2026-05-01,4072200810,,,,,,,,,,,,,,,,,,
RASFA,1,RASFA Radiology Location 1,RASFA01,1148208432,9559 HILL AVE,APT 250,HOUSTON,TX,77001,,,Professional,,9559 HILL AVE,,HOUSTON,,77001,2026-05-01,,,,,,,,,,,,,,,,,,,
RADO,1,RADO Radiology Location 1,RADO01,,276 SUNSET ST,,ORLANDO,FL,32801,,,Facility,,,,,FL,32801,2026-05-01,,,,,,,,,,,,,,,,,,,
ACR,1,ACR Radiology Location 1,ACR01,1746014279,4593 HILL AVE,,DAYTON,OH,45401,,,Professional,,,,DAYTON,,,2026-05-01,,,,,,,,,,,,,,,,,,,
MRB,2,MRB Radiology Location 2,MRB02,,5815 MAPLE LN,,NASHVILLE,TN,37201,,,Global,,,,NASHVILLE,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
GSIA,1,GSIA Radiology Location 1,GSIA01,1948840872,4981 MAPLE PL,,DALLAS,TX,75201,,,Professional,,,,DALLAS,,75201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADM,1,RADM Radiology Location 1,RADM01,1779477539,9035 PINE CIR,,SAN ANTONIO,TX,78201,,,Professional,,,,SAN ANTONIO,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADL,1,RADL Radiology Location 1,RADL01,,4392 HILL ST,,MURFREESBORO,TN,37128,,,Global,429752,4392 HILL ST,,,,37128,2026-05-01,,,,,,,,,,,,,,,,,,,
RADT,1,RADT Radiology Location 1,RADT01,1532722275,8499 HILL WAY,,TOLEDO,OH,43601,(614)430-5244,,Global,,8499 HILL WAY,,,OH,,2026-05-01,6144305244,,,,,,,,,,,,,,,,,,
RADA,1,RADA Radiology Location 1,RADA01,1445186309,9364 RIVER ST,APT 85,MOUNT JULIET,TN,37122,(865)945-0970,,Global,,,,MOUNT JULIET,TN,,2026-05-01,8659450970,,,,,,,,,,,,,,,,,,
RADS2,1,RADS2 Radiology Location 1,RADS201,1235708589,6824 HILL CT,,FORT WORTH,TX,76101,(210)876-0353,,Professional,,6824 HILL CT,,FORT WORTH,,76101,2026-05-01,2108760353,,,,,,,,,,,,,,,,,,
CRC,1,CRC Radiology Location 1,CRC01,,8188 CHURCH WAY,,CLEVELAND,OH,44101,,(216)326-0893,Professional,,8188 CHURCH WAY,,CLEVELAND,OH,,2026-05-01,,2163260893,,,,,,,,,,,,,,,,,
NRAA,2,NRAA Radiology Location 2,NRAA02,,3825 SUNSET CIR,,LEBANON,TN,37087,(931)902-3478,,Global,,,,LEBANON,,,2026-05-01,9319023478,,,,,,,,,,,,,,,,,,
RADF,1,RADF Radiology Location 1,RADF01,,3222 LAKE DR,APT 151,NORTH LAS VEGAS,NV,89030,(775)235-3368,,Global,891279,3222 LAKE DR,,NORTH LAS VEGAS,,89030,2026-05-01,7752353368,,,,,,,,,,,,,,,,,,
RADO,2,RADO Radiology Location 2,RADO02,,387 PINE AVE,,ST PETE,FL,33701,(954)431-1266,,Professional,,387 PINE AVE,,,FL,,2026-05-01,9544311266,,,,,,,,,,,,,,,,,,
RADF,2,RADF Radiology Location 2,RADF02,1819799701,6723 SCHOOL CIR,,CARSON CITY,NV,89701,,,Professional,,6723 SCHOOL CIR,,CARSON CITY,,89701,2026-05-01,,,,,,,,,,,,,,,,,,,
ACRB,2,ACRB Radiology Location 2,ACRB02,1980204783,2010 MAIN AVE,,TOLEDO,OH,43601,(419)243-6002,,Facility,,,,,OH,,2026-05-01,4192436002,,,,,,,,,,,,,,,,,,
RADA,2,RADA Radiology Location 2,RADA02,1145130254,7861 PINE WAY,,MURFREESBORO,TN,37128,(423)441-0740,,Global,,,,,,,2026-05-01,4234410740,,,,,,,,,,,,,,,,,,
RADT,2,RADT Radiology Location 2,RADT02,1427903213,1427 SPRING AVE,,TOLEDO,OH,43601,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADE,1,RADE Radiology Location 1,RADE01,1587150104,1042 PARK BLVD,,JACKSONVILLE,FL,32099,,,Professional,,,,,FL,32099,2026-05-01,,,,,,,,,,,,,,,,,,,
CRC,2,CRC Radiology Location 2,CRC02,,9217 SCHOOL RD,,CLEVELAND,OH,44101,(330)507-1408,,Professional,,,,,,,2026-05-01,3305071408,,,,,,,,,,,,,,,,,,
RADY,1,RADY Radiology Location 1,RADY01,1415210033,758 CHURCH CIR,,COLUMBUS,OH,43201,,,Professional,168949,758 CHURCH CIR,,,OH,43201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,2,RADU Radiology Location 2,RADU02,,7554 CEDAR CIR,,JACKSONVILLE,FL,32099,,,Global,,7554 CEDAR CIR,,JACKSONVILLE,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADA,3,RADA Radiology Location 3,RADA03,,8444 CEDAR BLVD,,NASHVILLE,TN,37201,,,Facility,,,,,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADX,2,RADX Radiology Location 2,RADX02,1556173155,237 OAK AVE,,DALLAS,TX,75201,(210)835-5541,,Professional,,237 OAK AVE,,,TX,75201,2026-05-01,2108355541,,,,,,,,,,,,,,,,,,
RADK,3,RADK Radiology Location 3,RADK03,1384217953,3761 HILL LN,,COLUMBUS,GA,31901,,,Professional,666081,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADE,2,RADE Radiology Location 2,RADE02,1566523985,6118 AMANA WAY,,TAMPA,FL,33601,,,Global,,,,TAMPA,FL,33601,2026-05-01,,,,,,,,,,,,,,,,,,,
ACR,2,ACR Radiology Location 2,ACR02,1809219111,9634 SUNSET CT,,COLUMBUS,OH,43201,(513)969-2182,(513)723-2818,Outpatient,,9634 SUNSET CT,,,,,2026-05-01,5139692182,5137232818,,,,,,,,,,,,,,,,,
RADZ,1,RADZ Radiology Location 1,RADZ01,1241911567,7794 SPRING LN,APT 430,TAMPA,FL,33601,(813)719-8696,,Global,,,,,,,2026-05-01,8137198696,,,,,,,,,,,,,,,,,,
ESR,2,ESR Radiology Location 2,ESR02,1739864910,9321 RIVER CT,,FORT LAUDERDALE,FL,33301,(954)505-4546,,Global,,,,FORT LAUDERDALE,,,2026-05-01,9545054546,,,,,,,,,,,,,,,,,,
ACRB,3,ACRB Radiology Location 3,ACRB03,1524192974,7027 AMANA WAY,,AKRON,OH,44301,(513)922-0266,,Professional,369048,,,,,44301,2026-05-01,5139220266,,,,,,,,,,,,,,,,,,
RADI,1,RADI Radiology Location 1,RADI01,,8092 PARK CIR,,ATHENS,GA,30601,(770)349-3527,,Global,997821,,,,,,2026-05-01,7703493527,,,,,,,,,,,,,,,,,,
PXP,1,PXP Radiology Location 1,PXP01,,2099 PARK DR,,ST PETE,FL,33701,,(904)969-8672,Professional,776766,,,,FL,33701,2026-05-01,,9049698672,,,,,,,,,,,,,,,,,
RADU,3,RADU Radiology Location 3,RADU03,,7448 PINE RD,,MIAMI,FL,33101,,,Facility,,7448 PINE RD,,MIAMI,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS2,2,RADS2 Radiology Location 2,RADS202,1902553968,9946 PARK WAY,,FORT WORTH,TX,76101,(512)348-1434,,Global,,,,,TX,,2026-05-01,5123481434,,,,,,,,,,,,,,,,,,
ACR,3,ACR Radiology Location 3,ACR03,1455117841,506 MAIN AVE,,DAYTON,OH,45401,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RASFA,2,RASFA Radiology Location 2,RASFA02,,1599 MAIN AVE,,HOUSTON,TX,77001,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADZ,2,RADZ Radiology Location 2,RADZ02,1482629892,8645 RIVER BLVD,,ORLANDO,FL,32801,,,Professional,,8645 RIVER BLVD,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
NRAA,3,NRAA Radiology Location 3,NRAA03,1569212049,1195 RIVER WAY,,NASHVILLE,TN,37201,,,Global,,1195 RIVER WAY,,,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADO,3,RADO Radiology Location 3,RADO03,1148484975,9684 SUNSET CIR,,ST PETE,FL,33701,(407)290-3737,,Professional,,,,,,,2026-05-01,4072903737,,,,,,,,,,,,,,,,,,
RADD,1,RADD Radiology Location 1,RADD01,,6624 RIVER PL,,ATHENS,GA,30601,(404)912-0154,,Professional,,,,ATHENS,,,2026-05-01,4049120154,,,,,,,,,,,,,,,,,,
RADB,1,RADB Radiology Location 1,RADB01,1897302198,9930 PARK RD,,SAN ANTONIO,TX,78201,(512)628-9602,,Professional,,9930 PARK RD,,SAN ANTONIO,,78201,2026-05-01,5126289602,,,,,,,,,,,,,,,,,,
NRAA,4,NRAA Radiology Location 4,NRAA04,1610770132,2389 SCHOOL PL,,KNOXVILLE,TN,37902,(423)516-9331,,Global,234805,,,,TN,,2026-05-01,4235169331,,,,,,,,,,,,,,,,,,
RADI,2,RADI Radiology Location 2,RADI02,,4336 LAKE CIR,,ATLANTA,GA,30301,,(404)746-0652,Professional,,4336 LAKE CIR,,,,30301,2026-05-01,,4047460652,,,,,,,,,,,,,,,,,
RADF,3,RADF Radiology Location 3,RADF03,1741716409,8794 SUNSET BLVD,,LAS VEGAS,NV,89101,(725)826-3680,,Facility,,,,,NV,,2026-05-01,7258263680,,,,,,,,,,,,,,,,,,
IAI,1,IAI Radiology Location 1,IAI01,,9793 SPRING BLVD,,PLANO,TX,75023,,,Global,,9793 SPRING BLVD,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
PXP,2,PXP Radiology Location 2,PXP02,,4001 CHURCH ST,,ORLANDO,FL,32801,(954)781-8071,,Global,,,,,,,2026-05-01,9547818071,,,,,,,,,,,,,,,,,,
GRH,2,GRH Radiology Location 2,GRH02,1244747162,4601 PINE ST,,ATLANTA,GA,30301,,,Professional,,4601 PINE ST,,ATLANTA,GA,30301,2026-05-01,,,,,,,,,,,,,,,,,,,
PXP,3,PXP Radiology Location 3,PXP03,1304466525,9533 PARK DR,,ST PETE,FL,33701,(813)277-5823,,Professional,,,,ST PETE,FL,33701,2026-05-01,8132775823,,,,,,,,,,,,,,,,,,
RADJ,1,RADJ Radiology Location 1,RADJ01,1760014970,3030 SCHOOL BLVD,,MIAMI,FL,33101,(305)365-4508,,Facility,,3030 SCHOOL BLVD,,,,,2026-05-01,3053654508,,,,,,,,,,,,,,,,,,
CIRPA,3,CIRPA Radiology Location 3,CIRPA03,,2527 AMANA CT,,JACKSONVILLE,FL,32099,,,Professional,166883,2527 AMANA CT,,,,32099,2026-05-01,,,,,,,,,,,,,,,,,,,
RADQ,2,RADQ Radiology Location 2,RADQ02,,3993 PARK PL,,RENO,NV,89501,,(702)961-7996,Professional,,,,,,89501,2026-05-01,,7029617996,,,,,,,,,,,,,,,,,
SAPA,1,SAPA Radiology Location 1,SAPA01,1400451244,3282 AMANA WAY,,PLANO,TX,75023,(210)349-7911,,Global,,3282 AMANA WAY,,,,,2026-05-01,2103497911,,,,,,,,,,,,,,,,,,
ACRB,4,ACRB Radiology Location 4,ACRB04,,7964 SUNSET WAY,,TOLEDO,OH,43601,(330)624-8213,,Professional,,,,,,,2026-05-01,3306248213,,,,,,,,,,,,,,,,,,
RADS,1,RADS Radiology Location 1,RADS01,1319156494,7896 SUNSET LN,APT 197,KNOXVILLE,TN,37902,(865)568-8794,,Professional,,,,KNOXVILLE,TN,,2026-05-01,8655688794,,,,,,,,,,,,,,,,,,
RADU,4,RADU Radiology Location 4,RADU04,1991807715,4550 ELM PL,,ORLANDO,FL,32801,,(954)727-9965,Professional,,4550 ELM PL,,ORLANDO,,32801,2026-05-01,,9547279965,,,,,,,,,,,,,,,,,
TRI,1,TRI Radiology Location 1,TRI01,,4250 MAPLE WAY,,MOUNT JULIET,TN,37122,,,Global,,,,,,37122,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS2,3,RADS2 Radiology Location 3,RADS203,,8619 CHURCH AVE,,DALLAS,TX,75201,,,Global,,8619 CHURCH AVE,,DALLAS,TX,75201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADJ,2,RADJ Radiology Location 2,RADJ02,,2625 ELM WAY,,FORT LAUDERDALE,FL,33301,(561)635-5799,,Facility,,2625 ELM WAY,,FORT LAUDERDALE,,33301,2026-05-01,5616355799,,,,,,,,,,,,,,,,,,
PMR,1,PMR Radiology Location 1,PMR01,,7075 HILL LN,,KNOXVILLE,TN,37902,(423)930-1373,,Outpatient,,7075 HILL LN,,,,,2026-05-01,4239301373,,,,,,,,,,,,,,,,,,
RADD,2,RADD Radiology Location 2,RADD02,,6483 SUNSET AVE,,AUGUSTA,GA,30901,,,Facility,,,,AUGUSTA,GA,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADH,1,RADH Radiology Location 1,RADH01,,7765 SUNSET ST,,AUSTIN,TX,78701,,,Global,669394,,,AUSTIN,,78701,2026-05-01,,,,,,,,,,,,,,,,,,,
ESR,3,ESR Radiology Location 3,ESR03,,2313 SUNSET LN,,MIAMI,FL,33101,(305)538-7962,,Global,121390,,,,FL,33101,2026-05-01,3055387962,,,,,,,,,,,,,,,,,,
RADU,5,RADU Radiology Location 5,RADU05,,3272 ELM AVE,,TAMPA,FL,33601,,,Global,,,,TAMPA,FL,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADG,1,RADG Radiology Location 1,RADG01,,2297 AMANA AVE,,NASHVILLE,TN,37201,,,Professional,,,,NASHVILLE,TN,37201,2026-05-01,,,27.0,3.93,4.0,1.0,1.0,8.0,6.0,11.0,2026-04-30,2026-02-27,22.0,0.0,0.0,0.0,0.0,3.7,7.41
RADX,3,RADX Radiology Location 3,RADX03,,8209 MAIN DR,,SAN ANTONIO,TX,78201,(817)361-1741,,Professional,,,,SAN ANTONIO,,,2026-05-01,8173611741,,,,,,,,,,,,,,,,,,
RADZ,3,RADZ Radiology Location 3,RADZ03,,3438 MAPLE ST,,ORLANDO,FL,32801,,,Professional,,3438 MAPLE ST,,ORLANDO,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,6,RADU Radiology Location 6,RADU06,1745916114,4783 SUNSET CIR,,ORLANDO,FL,32801,(904)496-8276,,Professional,,,,,FL,32801,2026-05-01,9044968276,,,,,,,,,,,,,,,,,,
RADI2,1,RADI2 Radiology Location 1,RADI201,1162490958,3550 PARK ST,,CINCINNATI,OH,45201,(216)711-5012,,Professional,708986,3550 PARK ST,,,OH,,2026-05-01,2167115012,,,,,,,,,,,,,,,,,,
RADN,2,RADN Radiology Location 2,RADN02,1215178274,4812 SCHOOL CIR,,CINCINNATI,OH,45201,(513)356-3891,,Professional,,,,,OH,,2026-05-01,5133563891,,,,,,,,,,,,,,,,,,
PXP,4,PXP Radiology Location 4,PXP04,1264807176,3671 PINE DR,,TAMPA,FL,33601,(813)364-3122,(813)759-5360,Professional,,,,TAMPA,FL,33601,2026-05-01,8133643122,8137595360,,,,,,,,,,,,,,,,,
MRB,3,MRB Radiology Location 3,MRB03,,6949 HILL ST,,LEBANON,TN,37087,(615)459-1493,,Global,393429,,,LEBANON,,,2026-05-01,6154591493,,,,,,,,,,,,,,,,,,
RADY,2,RADY Radiology Location 2,RADY02,,7967 PARK LN,,COLUMBUS,OH,43201,(937)282-6267,,Professional,,7967 PARK LN,,COLUMBUS,OH,,2026-05-01,9372826267,,,,,,,,,,,,,,,,,,
RADL,2,RADL Radiology Location 2,RADL02,1461817910,3359 ELM LN,,MURFREESBORO,TN,37128,,,Professional,,3359 ELM LN,,,,37128,2026-05-01,,,,,,,,,,,,,,,,,,,
RADB,2,RADB Radiology Location 2,RADB02,1181467063,7605 CHURCH RD,,DALLAS,TX,75201,(210)993-8684,(210)242-0607,Professional,,,,,TX,75201,2026-05-01,2109938684,2102420607,,,,,,,,,,,,,,,,,
ESR,4,ESR Radiology Location 4,ESR04,1496417481,362 CEDAR CT,,ORLANDO,FL,32801,(813)204-3784,,Facility,,,,,FL,,2026-05-01,8132043784,,,,,,,,,,,,,,,,,,
IAI,2,IAI Radiology Location 2,IAI02,,5410 PINE CIR,APT 396,PLANO,TX,75023,(972)675-4180,,Professional,,5410 PINE CIR,,PLANO,TX,,2026-05-01,9726754180,,,,,,,,,,,,,,,,,,
RADS2,4,RADS2 Radiology Location 4,RADS204,1794750557,3762 OAK LN,,PLANO,TX,75023,,(713)427-5176,Professional,,3762 OAK LN,,,TX,,2026-05-01,,7134275176,,,,,,,,,,,,,,,,,
RADL,3,RADL Radiology Location 3,RADL03,,6224 MAPLE DR,,LEBANON,TN,37087,,,Professional,278873,6224 MAPLE DR,,LEBANON,,37087,2026-05-01,,,,,,,,,,,,,,,,,,,
WRAD,1,WRAD Radiology Location 1,WRAD01,,9907 AMANA PL,,SPARKS,NV,89431,,(725)228-7191,Outpatient,,,,SPARKS,,89431,2026-05-01,,7252287191,,,,,,,,,,,,,,,,,
RADK,4,RADK Radiology Location 4,RADK04,,8390 AMANA ST,,ATLANTA,GA,30301,,(478)896-9908,Professional,,8390 AMANA ST,,,,,2026-05-01,,4788969908,,,,,,,,,,,,,,,,,
RADB,3,RADB Radiology Location 3,RADB03,1830019178,2059 SPRING ST,,HOUSTON,TX,77001,(713)980-7179,(713)701-0901,Global,,2059 SPRING ST,,HOUSTON,TX,,2026-05-01,7139807179,7137010901,,,,,,,,,,,,,,,,,
