:START_ID(Location),:END_ID(Practice),:TYPE
ESR:1,ESR,BELONGS_TO_PRACTICE
RADK:1,RADK,BELONGS_TO_PRACTICE
RADR:1,RADR,BELONGS_TO_PRACTICE
CIRPA:1,CIRPA,BELONGS_TO_PRACTICE
GRH:1,GRH,BELONGS_TO_PRACTICE
RADN:1,RADN,BELONGS_TO_PRACTICE
RADQ:1,RADQ,BELONGS_TO_PRACTICE
RADK:2,RADK,BELONGS_TO_PRACTICE
RADX:1,RADX,BELONGS_TO_PRACTICE
RADU:1,RADU,BELONGS_TO_PRACTICE
RADC:1,RADC,BELONGS_TO_PRACTICE
MRB:1,MRB,BELONGS_TO_PRACTICE
NRAA:1,NRAA,BELONGS_TO_PRACTICE
ACRB:1,ACRB,BELONGS_TO_PRACTICE
CIRPA:2,CIRPA,BELONGS_TO_PRACTICE
RASFA:1,RASFA,BELONGS_TO_PRACTICE
RADO:1,RADO,BELONGS_TO_PRACTICE
ACR:1,ACR,BELONGS_TO_PRACTICE
MRB:2,MRB,BELONGS_TO_PRACTICE
GSIA:1,GSIA,BELONGS_TO_PRACTICE
RADM:1,RADM,BELONGS_TO_PRACTICE
RADL:1,RADL,BELONGS_TO_PRACTICE
RADT:1,RADT,BELONGS_TO_PRACTICE
RADA:1,RADA,BELONGS_TO_PRACTICE
RADS2:1,RADS2,BELONGS_TO_PRACTICE
CRC:1,CRC,BELONGS_TO_PRACTICE
NRAA:2,NRAA,BELONGS_TO_PRACTICE
RADF:1,RADF,BELONGS_TO_PRACTICE
RADO:2,RADO,BELONGS_TO_PRACTICE
RADF:2,RADF,BELONGS_TO_PRACTICE
ACRB:2,ACRB,BELONGS_TO_PRACTICE
RADA:2,RADA,BELONGS_TO_PRACTICE
RADT:2,RADT,BELONGS_TO_PRACTICE
RADE:1,RADE,BELONGS_TO_PRACTICE
CRC:2,CRC,BELONGS_TO_PRACTICE
RADY:1,RADY,BELONGS_TO_PRACTICE
RADU:2,RADU,BELONGS_TO_PRACTICE
RADA:3,RADA,BELONGS_TO_PRACTICE
RADX:2,RADX,BELONGS_TO_PRACTICE
RADK:3,RADK,BELONGS_TO_PRACTICE
RADE:2,RADE,BELONGS_TO_PRACTICE
ACR:2,ACR,BELONGS_TO_PRACTICE
RADZ:1,RADZ,BELONGS_TO_PRACTICE
ESR:2,ESR,BELONGS_TO_PRACTICE
ACRB:3,ACRB,BELONGS_TO_PRACTICE
RADI:1,RADI,BELONGS_TO_PRACTICE
PXP:1,PXP,BELONGS_TO_PRACTICE
RADU:3,RADU,BELONGS_TO_PRACTICE
RADS2:2,RADS2,BELONGS_TO_PRACTICE
ACR:3,ACR,BELONGS_TO_PRACTICE
RASFA:2,RASFA,BELONGS_TO_PRACTICE
RADZ:2,RADZ,BELONGS_TO_PRACTICE
NRAA:3,NRAA,BELONGS_TO_PRACTICE
RADO:3,RADO,BELONGS_TO_PRACTICE
RADD:1,RADD,BELONGS_TO_PRACTICE
RADB:1,RADB,BELONGS_TO_PRACTICE
NRAA:4,NRAA,BELONGS_TO_PRACTICE
RADI:2,RADI,BELONGS_TO_PRACTICE
RADF:3,RADF,BELONGS_TO_PRACTICE
IAI:1,IAI,BELONGS_TO_PRACTICE
PXP:2,PXP,BELONGS_TO_PRACTICE
GRH:2,GRH,BELONGS_TO_PRACTICE
PXP:3,PXP,BELONGS_TO_PRACTICE
RADJ:1,RADJ,BELONGS_TO_PRACTICE
CIRPA:3,CIRPA,BELONGS_TO_PRACTICE
RADQ:2,RADQ,BELONGS_TO_PRACTICE
SAPA:1,SAPA,BELONGS_TO_PRACTICE
ACRB:4,ACRB,BELONGS_TO_PRACTICE
RADS:1,RADS,BELONGS_TO_PRACTICE
RADU:4,RADU,BELONGS_TO_PRACTICE
TRI:1,TRI,BELONGS_TO_PRACTICE
RADS2:3,RADS2,BELONGS_TO_PRACTICE
RADJ:2,RADJ,BELONGS_TO_PRACTICE
PMR:1,PMR,BELONGS_TO_PRACTICE
RADD:2,RADD,BELONGS_TO_PRACTICE
RADH:1,RADH,BELONGS_TO_PRACTICE
ESR:3,ESR,BELONGS_TO_PRACTICE
RADU:5,RADU,BELONGS_TO_PRACTICE
RADG:1,RADG,BELONGS_TO_PRACTICE
RADX:3,RADX,BELONGS_TO_PRACTICE
RADZ:3,RADZ,BELONGS_TO_PRACTICE
RADU:6,RADU,BELONGS_TO_PRACTICE
RADI2:1,RADI2,BELONGS_TO_PRACTICE
RADN:2,RADN,BELONGS_TO_PRACTICE
PXP:4,PXP,BELONGS_TO_PRACTICE
MRB:3,MRB,BELONGS_TO_PRACTICE
RADY:2,RADY,BELONGS_TO_PRACTICE
RADL:2,RADL,BELONGS_TO_PRACTICE
RADB:2,RADB,BELONGS_TO_PRACTICE
ESR:4,ESR,BELONGS_TO_PRACTICE
IAI:2,IAI,BELONGS_TO_PRACTICE
RADS2:4,RADS2,BELONGS_TO_PRACTICE
RADL:3,RADL,BELONGS_TO_PRACTICE
WRAD:1,WRAD,BELONGS_TO_PRACTICE
RADK:4,RADK,BELONGS_TO_PRACTICE
RADB:3,RADB,BELONGS_TO_PRACTICE
CRC:3,CRC,BELONGS_TO_PRACTICE
ESR:5,ESR,BELONGS_TO_PRACTICE
RADZ:4,RADZ,BELONGS_TO_PRACTICE
CIRPA:4,CIRPA,BELONGS_TO_PRACTICE
RADZ:5,RADZ,BELONGS_TO_PRACTICE
RADQ:3,RADQ,BELONGS_TO_PRACTICE
RADD:3,RADD,BELONGS_TO_PRACTICE
RADQ:4,RADQ,BELONGS_TO_PRACTICE
MRB:4,MRB,BELONGS_TO_PRACTICE
RADH:2,RADH,BELONGS_TO_PRACTICE
RADC:2,RADC,BELONGS_TO_PRACTICE
RADJ:3,RADJ,BELONGS_TO_PRACTICE
IAI:3,IAI,BELONGS_TO_PRACTICE
RADC:3,RADC,BELONGS_TO_PRACTICE
RADU:7,RADU,BELONGS_TO_PRACTICE
RADU:8,RADU,BELONGS_TO_PRACTICE
WRAD:2,WRAD,BELONGS_TO_PRACTICE
RADO:4,RADO,BELONGS_TO_PRACTICE
RADA:4,RADA,BELONGS_TO_PRACTICE
PXP:5,PXP,BELONGS_TO_PRACTICE
ACR:4,ACR,BELONGS_TO_PRACTICE
RADB:4,RADB,BELONGS_TO_PRACTICE
RADR:2,RADR,BELONGS_TO_PRACTICE
ACR:5,ACR,BELONGS_TO_PRACTICE
RADI:3,RADI,BELONGS_TO_PRACTICE
NRA:1,NRA,BELONGS_TO_PRACTICE
RADK:5,RADK,BELONGS_TO_PRACTICE
GRH:3,GRH,BELONGS_TO_PRACTICE
RADS:2,RADS,BELONGS_TO_PRACTICE
GRH:4,GRH,BELONGS_TO_PRACTICE
WRAD:3,WRAD,BELONGS_TO_PRACTICE
RADU:9,RADU,BELONGS_TO_PRACTICE
TRI:2,TRI,BELONGS_TO_PRACTICE
RADE:3,RADE,BELONGS_TO_PRACTICE
RADJ:4,RADJ,BELONGS_TO_PRACTICE
RADH:3,RADH,BELONGS_TO_PRACTICE
SAPA:2,SAPA,BELONGS_TO_PRACTICE
RADE:4,RADE,BELONGS_TO_PRACTICE
RADJ:5,RADJ,BELONGS_TO_PRACTICE
RADU:10,RADU,BELONGS_TO_PRACTICE
IAI:4,IAI,BELONGS_TO_PRACTICE
RADO:5,RADO,BELONGS_TO_PRACTICE
RADA:5,RADA,BELONGS_TO_PRACTICE
ACRB:5,ACRB,BELONGS_TO_PRACTICE
RADI2:2,RADI2,BELONGS_TO_PRACTICE
NRA:2,NRA,BELONGS_TO_PRACTICE
RADY:3,RADY,BELONGS_TO_PRACTICE
ACR:6,ACR,BELONGS_TO_PRACTICE
RADR:3,RADR,BELONGS_TO_PRACTICE
RADJ:6,RADJ,BELONGS_TO_PRACTICE
RADR:4,RADR,BELONGS_TO_PRACTICE
RADY:4,RADY,BELONGS_TO_PRACTICE
RADC:4,RADC,BELONGS_TO_PRACTICE
RADK:6,RADK,BELONGS_TO_PRACTICE
RADS2:5,RADS2,BELONGS_TO_PRACTICE
RADN:3,RADN,BELONGS_TO_PRACTICE
RASFA:3,RASFA,BELONGS_TO_PRACTICE
RADU:11,RADU,BELONGS_TO_PRACTICE
RASFA:4,RASFA,BELONGS_TO_PRACTICE
RADI2:3,RADI2,BELONGS_TO_PRACTICE
SAPA:3,SAPA,BELONGS_TO_PRACTICE
CRC:4,CRC,BELONGS_TO_PRACTICE
NRAA:5,NRAA,BELONGS_TO_PRACTICE
PMR:2,PMR,BELONGS_TO_PRACTICE
RADG:2,RADG,BELONGS_TO_PRACTICE
GSIA:2,GSIA,BELONGS_TO_PRACTICE
RADK:7,RADK,BELONGS_TO_PRACTICE
WRAD:4,WRAD,BELONGS_TO_PRACTICE
ACRB:6,ACRB,BELONGS_TO_PRACTICE
GSIA:3,GSIA,BELONGS_TO_PRACTICE
RADF:4,RADF,BELONGS_TO_PRACTICE
TRI:3,TRI,BELONGS_TO_PRACTICE
RADZ:6,RADZ,BELONGS_TO_PRACTICE
RADI2:4,RADI2,BELONGS_TO_PRACTICE
RADU:12,RADU,BELONGS_TO_PRACTICE
PMR:3,PMR,BELONGS_TO_PRACTICE
RADE:5,RADE,BELONGS_TO_PRACTICE
RADS2:6,RADS2,BELONGS_TO_PRACTICE
SAPA:4,SAPA,BELONGS_TO_PRACTICE
RADL:4,RADL,BELONGS_TO_PRACTICE
RADS2:7,RADS2,BELONGS_TO_PRACTICE
RADR:5,RADR,BELONGS_TO_PRACTICE
RADB:5,RADB,BELONGS_TO_PRACTICE
RADJ:7,RADJ,BELONGS_TO_PRACTICE
RADB:6,RADB,BELONGS_TO_PRACTICE
RADE:6,RADE,BELONGS_TO_PRACTICE
GSIA:4,GSIA,BELONGS_TO_PRACTICE
RADH:4,RADH,BELONGS_TO_PRACTICE
RADZ:7,RADZ,BELONGS_TO_PRACTICE
IAI:5,IAI,BELONGS_TO_PRACTICE
RADZ:8,RADZ,BELONGS_TO_PRACTICE
MRB:5,MRB,BELONGS_TO_PRACTICE
RADF:5,RADF,BELONGS_TO_PRACTICE
RADO:6,RADO,BELONGS_TO_PRACTICE
RADZ:9,RADZ,BELONGS_TO_PRACTICE
RADO:7,RADO,BELONGS_TO_PRACTICE
RADF:6,RADF,BELONGS_TO_PRACTICE
RADU:13,RADU,BELONGS_TO_PRACTICE
RADR:6,RADR,BELONGS_TO_PRACTICE
SAPA:5,SAPA,BELONGS_TO_PRACTICE
RADY:5,RADY,BELONGS_TO_PRACTICE
RADH:5,RADH,BELONGS_TO_PRACTICE
RADH:6,RADH,BELONGS_TO_PRACTICE
RADF:7,RADF,BELONGS_TO_PRACTICE
MRB:6,MRB,BELONGS_TO_PRACTICE
CIRPA:5,CIRPA,BELONGS_TO_PRACTICE
RADD:4,RADD,BELONGS_TO_PRACTICE
MRB:7,MRB,BELONGS_TO_PRACTICE
ACR:7,ACR,BELONGS_TO_PRACTICE
RADR:7,RADR,BELONGS_TO_PRACTICE
RADK:8,RADK,BELONGS_TO_PRACTICE
RADR:8,RADR,BELONGS_TO_PRACTICE
RADM:2,RADM,BELONGS_TO_PRACTICE
RADQ:5,RADQ,BELONGS_TO_PRACTICE
ACR:8,ACR,BELONGS_TO_PRACTICE
RADE:7,RADE,BELONGS_TO_PRACTICE
MRB:8,MRB,BELONGS_TO_PRACTICE
RADY:6,RADY,BELONGS_TO_PRACTICE
RADT:3,RADT,BELONGS_TO_PRACTICE
RADU:14,RADU,BELONGS_TO_PRACTICE
RADC:5,RADC,BELONGS_TO_PRACTICE
RADG:3,RADG,BELONGS_TO_PRACTICE
ACR:9,ACR,BELONGS_TO_PRACTICE
MRB:9,MRB,BELONGS_TO_PRACTICE
RADM:3,RADM,BELONGS_TO_PRACTICE
ESR:6,ESR,BELONGS_TO_PRACTICE
PMR:4,PMR,BELONGS_TO_PRACTICE
RADC:6,RADC,BELONGS_TO_PRACTICE
RADS2:8,RADS2,BELONGS_TO_PRACTICE
SAPA:6,SAPA,BELONGS_TO_PRACTICE
SMED:1,SMED,BELONGS_TO_PRACTICE
RADB:7,RADB,BELONGS_TO_PRACTICE
RADD:5,RADD,BELONGS_TO_PRACTICE
RADB:8,RADB,BELONGS_TO_PRACTICE
RADS:3,RADS,BELONGS_TO_PRACTICE
ACRB:7,ACRB,BELONGS_TO_PRACTICE
WRAD:5,WRAD,BELONGS_TO_PRACTICE
SAPA:7,SAPA,BELONGS_TO_PRACTICE
RADX:4,RADX,BELONGS_TO_PRACTICE
RADE:8,RADE,BELONGS_TO_PRACTICE
RADN:4,RADN,BELONGS_TO_PRACTICE
PMR:5,PMR,BELONGS_TO_PRACTICE
RADA:6,RADA,BELONGS_TO_PRACTICE
RADS:4,RADS,BELONGS_TO_PRACTICE
GRH:5,GRH,BELONGS_TO_PRACTICE
ACR:10,ACR,BELONGS_TO_PRACTICE
NRAA:6,NRAA,BELONGS_TO_PRACTICE
NRA:3,NRA,BELONGS_TO_PRACTICE
NRA:4,NRA,BELONGS_TO_PRACTICE
RADE:9,RADE,BELONGS_TO_PRACTICE
RADD:6,RADD,BELONGS_TO_PRACTICE
RADK:9,RADK,BELONGS_TO_PRACTICE
MRB:10,MRB,BELONGS_TO_PRACTICE
RADP:1,RADP,BELONGS_TO_PRACTICE
RADY:7,RADY,BELONGS_TO_PRACTICE
RADH:7,RADH,BELONGS_TO_PRACTICE
RADX:5,RADX,BELONGS_TO_PRACTICE
RADM:4,RADM,BELONGS_TO_PRACTICE
RASFA:5,RASFA,BELONGS_TO_PRACTICE
WRAD:6,WRAD,BELONGS_TO_PRACTICE
ESR:7,ESR,BELONGS_TO_PRACTICE
PMR:6,PMR,BELONGS_TO_PRACTICE
RADM:5,RADM,BELONGS_TO_PRACTICE
PMR:7,PMR,BELONGS_TO_PRACTICE
RADH:8,RADH,BELONGS_TO_PRACTICE
RADI:4,RADI,BELONGS_TO_PRACTICE
RADS2:9,RADS2,BELONGS_TO_PRACTICE
RADN:5,RADN,BELONGS_TO_PRACTICE
GRH:6,GRH,BELONGS_TO_PRACTICE
WRAD:7,WRAD,BELONGS_TO_PRACTICE
IAI:6,IAI,BELONGS_TO_PRACTICE
RADF:8,RADF,BELONGS_TO_PRACTICE
RADS2:10,RADS2,BELONGS_TO_PRACTICE
RADY:8,RADY,BELONGS_TO_PRACTICE
RADP:2,RADP,BELONGS_TO_PRACTICE
RASFA:6,RASFA,BELONGS_TO_PRACTICE
NRA:5,NRA,BELONGS_TO_PRACTICE
RADM:6,RADM,BELONGS_TO_PRACTICE
RADS:5,RADS,BELONGS_TO_PRACTICE
RADO:8,RADO,BELONGS_TO_PRACTICE
ACRB:8,ACRB,BELONGS_TO_PRACTICE
RADA:7,RADA,BELONGS_TO_PRACTICE
RADY:9,RADY,BELONGS_TO_PRACTICE
RADK:10,RADK,BELONGS_TO_PRACTICE
RADJ:8,RADJ,BELONGS_TO_PRACTICE
SMED:2,SMED,BELONGS_TO_PRACTICE
RADU:15,RADU,BELONGS_TO_PRACTICE
RADP:3,RADP,BELONGS_TO_PRACTICE
CRC:5,CRC,BELONGS_TO_PRACTICE
RADM:7,RADM,BELONGS_TO_PRACTICE
RADI2:5,RADI2,BELONGS_TO_PRACTICE
RADU:16,RADU,BELONGS_TO_PRACTICE
SAPA:8,SAPA,BELONGS_TO_PRACTICE
RADQ:6,RADQ,BELONGS_TO_PRACTICE
PMR:8,PMR,BELONGS_TO_PRACTICE
RASFA:7,RASFA,BELONGS_TO_PRACTICE
RADE:10,RADE,BELONGS_TO_PRACTICE
RADB:9,RADB,BELONGS_TO_PRACTICE
ESR:8,ESR,BELONGS_TO_PRACTICE
CIRPA:6,CIRPA,BELONGS_TO_PRACTICE
RADS2:11,RADS2,BELONGS_TO_PRACTICE
PMR:9,PMR,BELONGS_TO_PRACTICE
RADD:7,RADD,BELONGS_TO_PRACTICE
GSIA:5,GSIA,BELONGS_TO_PRACTICE
